Name,Symbol,Price_usd,Change,Volume_in_M,PE_ratio,Market_cap_in_B
"Chipotle Mexican Grill, Inc.",CMG,57.07,0.3,10.384,50.5,76.894
Exxon Mobil Corporation,XOM,112.2,1.15,9.61,14.88,483.542
Nokia Oyj,NOK,5.19,-0.01,9.475,19.96,27.972
Hecla Mining Company,HL,6.07,0.04,9.128,50.58,3.84
The Kraft Heinz Company,KHC,26.66,-0.4,9.155,12.17,31.553
The Coca-Cola Company,KO,71.35,0.44,9.44,28.65,307.11
"VNET Group, Inc.",VNET,7.75,0.67,8.957,,2.085
"Juniper Networks, Inc.",JNPR,39.95,0.02,8.491,38.05,13.359
Oklo Inc.,OKLO,53.72,2.39,8.741,,7.917
"Meta Platforms, Inc.",META,719.01,5.44,8.602,28.09,1808.0
Lloyds Banking Group plc,LYG,4.16,0.13,8.516,12.24,62.237
Trump Media & Technology Group Corp.,DJT,18.95,0.76,8.494,17.07,5.251
Haleon plc,HLN,10.25,-0.01,8.423,23.84,46.044
"NextEra Energy, Inc.",NEE,73.88,0.86,8.561,27.67,152.092
"Annaly Capital Management, Inc.",NLY,19.49,0.17,8.57,21.18,11.793
Ambev S.A.,ABEV,2.47,-0.02,8.251,14.53,38.772
RLX Technology Inc.,RLX,2.4,0.06,8.201,34.29,2.924
Fortuna Mining Corp.,FSM,6.61,-0.02,8.147,12.71,2.029
"Uber Technologies, Inc.",UBER,93.63,1.58,8.113,16.4,195.796
Rocket Lab Corporation,RKLB,35.66,-0.02,7.871,,16.455
Vodafone Group Public Limited Company,VOD,10.78,0.11,7.778,,26.438
Taiwan Semiconductor Manufacturing Company Limited,TSM,234.8,1.2,7.711,27.56,1218.0
James Hardie Industries plc,JHX,28.77,0.42,11.898,29.36,12.544
"Lyft, Inc.",LYFT,16.15,0.44,7.579,107.67,6.793
Freeport-McMoRan Inc.,FCX,45.8,0.03,7.607,37.54,65.778
"Merck & Co., Inc.",MRK,80.93,-1.46,7.512,11.76,203.218
Walmart Inc.,WMT,98.36,0.75,7.686,42.03,784.954
Halliburton Company,HAL,21.52,-0.19,7.248,9.0,18.501
Aegon Ltd.,AEG,7.28,0.08,7.03,16.55,11.488
Uranium Energy Corp.,UEC,6.62,0.0,7.089,,2.942
"Enphase Energy, Inc.",ENPH,42.57,1.6,7.0,39.06,5.585
"Moderna, Inc.",MRNA,30.49,0.21,6.973,,11.792
Energy Transfer LP,ET,17.97,0.07,7.003,13.61,61.669
Coty Inc.,COTY,5.09,0.0,7.216,,4.44
